fecha_inscripcion_adopcion,fecha_nacimiento,genero,subtipo_adopcion
2018-05-18 09:21:52,1997-11-08 00:00:00,Masculino,Adopción Plena
2018-05-30 14:36:20,2009-01-07 00:00:00,Femenino,Adopción Simple
2018-06-06 11:47:41,2012-09-13 00:00:00,Masculino,Adopción Plena
2018-06-08 09:57:32,2009-09-01 00:00:00,Femenino,Adopción Plena
2018-06-08 10:18:28,2000-04-13 00:00:00,Femenino,Adopción Plena
2018-06-13 12:06:01,2011-02-22 00:00:00,Masculino,Adopción Plena
2018-06-14 11:08:17,2007-03-01 00:00:00,Masculino,Adopción Plena
2018-06-15 12:09:21,2001-08-28 00:00:00,Masculino,Adopción Plena
2018-06-18 10:31:00,2013-03-17 00:00:00,Femenino,Adopción Plena
2018-06-21 11:08:33,2007-07-08 00:00:00,Masculino,Adopción Plena
2018-06-21 11:23:35,2010-02-11 00:00:00,Masculino,Adopción Plena
2018-06-22 11:51:28,2011-11-01 00:00:00,Masculino,Adopción Plena
2018-06-26 15:06:13,1990-03-03 00:00:00,Masculino,Adopción Plena
2018-06-27 11:40:25,2005-08-18 00:00:00,Masculino,Adopción Plena
2018-07-03 10:28:40,2000-10-24 00:00:00,Femenino,Adopción Plena
2018-07-04 11:40:36,2010-08-09 00:00:00,Masculino,Adopción Plena
2018-07-04 11:50:59,2007-01-27 00:00:00,Masculino,Adopción Plena
2018-07-05 10:59:13,2004-01-26 00:00:00,Masculino,Adopción Plena
2018-07-06 10:50:47,2003-05-23 00:00:00,Femenino,Adopción Plena
2018-07-06 12:44:14,2001-04-13 00:00:00,Masculino,Adopción Plena
2018-07-13 14:24:36,2000-09-06 00:00:00,Femenino,Adopción Plena
2018-07-17 11:50:10,1999-02-13 00:00:00,Femenino,Adopción Plena
2018-07-17 11:56:38,1994-01-03 00:00:00,Femenino,Adopción Plena
2018-07-20 14:18:07,1987-09-05 00:00:00,Masculino,Adopción Plena
2018-07-23 09:37:14,2010-08-01 00:00:00,Femenino,Adopción Plena
2018-07-23 11:03:50,2002-08-21 00:00:00,Femenino,Adopción Plena
2018-07-24 14:19:09,1989-09-13 00:00:00,Femenino,Adopción Plena
2018-07-25 10:30:38,1993-12-28 00:00:00,Femenino,Adopción Plena
2018-08-03 09:48:36,2006-03-22 00:00:00,Masculino,Adopción Plena
2018-08-03 09:57:15,2008-03-09 00:00:00,Femenino,Adopción Plena
2018-08-07 13:14:36,1995-03-09 00:00:00,Masculino,Adopción Plena
2018-08-08 12:29:06,2013-03-27 00:00:00,Masculino,Adopción Plena
2018-08-08 15:19:36,2013-09-19 00:00:00,Masculino,Adopción Plena
2018-08-15 13:15:23,2002-07-03 00:00:00,Masculino,Adopción Plena
2018-08-15 15:02:31,1990-02-27 00:00:00,Femenino,Adopción Plena
2018-08-15 15:10:11,1994-05-16 00:00:00,Femenino,Adopción Plena
2018-08-17 12:35:55,2007-05-02 00:00:00,Femenino,Adopción Simple
2018-08-28 10:58:14,2014-06-25 00:00:00,Masculino,Adopción Plena
2018-08-29 11:01:10,2009-06-08 00:00:00,Masculino,Adopción Plena
2018-08-29 11:09:48,2007-09-21 00:00:00,Masculino,Adopción Plena
2018-08-31 12:42:48,2011-12-08 00:00:00,Masculino,Adopción Plena
2018-09-03 10:43:27,2007-09-04 00:00:00,Masculino,Adopción Plena
2018-09-04 10:30:33,1990-07-16 00:00:00,Femenino,Adopción Plena
2018-09-05 09:14:53,2007-08-06 00:00:00,Masculino,Adopción Plena
2018-09-06 11:40:24,2007-08-28 00:00:00,Femenino,Adopción Plena
2018-09-06 11:57:05,2005-04-22 00:00:00,Masculino,Adopción Plena
2018-09-11 14:09:24,2005-08-17 00:00:00,Femenino,Adopción Plena
2018-09-14 10:10:42,2009-07-14 00:00:00,Femenino,Adopción Plena
2018-09-14 11:22:27,2012-06-08 00:00:00,Femenino,Adopción Plena
2018-09-17 10:36:07,2006-08-30 00:00:00,Femenino,Adopción Plena
2018-09-17 12:56:19,2006-12-20 00:00:00,Masculino,Adopción Plena
2018-09-18 14:17:03,2007-04-11 00:00:00,Femenino,Adopción Plena
2018-09-18 14:56:09,2007-02-20 00:00:00,Femenino,Adopción Plena
2018-09-20 10:15:57,1971-12-20 00:00:00,Masculino,Adopción Simple
2018-09-21 09:45:22,2000-12-20 00:00:00,Femenino,Adopción Plena
2018-09-21 13:11:52,2013-01-20 00:00:00,Femenino,Adopción Plena
2018-09-24 10:17:17,1999-07-12 00:00:00,Femenino,Adopción Plena
2018-09-24 13:55:28,2003-02-07 00:00:00,Masculino,Adopción Simple
2018-09-24 14:13:14,2007-08-06 00:00:00,Femenino,Adopción Plena
2018-09-26 10:39:52,1995-09-11 00:00:00,Masculino,Adopción Plena
2018-10-02 14:11:06,2013-09-20 00:00:00,Masculino,Adopción Plena
2018-10-03 11:06:38,2004-04-22 00:00:00,Femenino,Adopción Plena
2018-10-04 14:26:34,2002-07-23 00:00:00,Femenino,Adopción Plena
2018-10-04 14:45:40,1990-03-20 00:00:00,Femenino,Adopción Plena
2018-10-05 12:38:04,2012-04-06 00:00:00,Masculino,Adopción Plena
2018-10-05 12:47:18,2014-04-27 00:00:00,Masculino,Adopción Plena
2018-10-08 10:33:02,2015-04-23 00:00:00,Masculino,Adopción Plena
2018-10-17 10:03:19,2011-11-17 00:00:00,Masculino,Adopción Plena
2018-10-17 10:23:21,2013-07-26 00:00:00,Masculino,Adopción Plena
2018-10-17 11:39:55,2004-04-21 00:00:00,Masculino,Adopción Plena
2018-10-17 11:52:33,2008-09-27 00:00:00,Masculino,Adopción Plena
2018-10-17 12:03:04,2005-12-27 00:00:00,Femenino,Adopción Plena
2018-10-17 12:40:01,2001-01-17 00:00:00,Femenino,Adopción Plena
2018-10-17 12:58:10,2012-05-23 00:00:00,Masculino,Adopción Plena
2018-10-18 09:51:07,2006-03-23 00:00:00,Masculino,Adopción Plena
2018-10-18 12:45:06,2010-07-23 00:00:00,Femenino,Adopción Plena
2018-10-18 14:41:40,2011-12-25 00:00:00,Masculino,Adopción Plena
2018-10-19 08:43:11,2006-07-08 00:00:00,Masculino,Adopción Plena
2018-10-22 08:44:55,2008-08-04 00:00:00,Masculino,Adopción Plena
2018-10-22 09:16:36,2011-02-18 00:00:00,Femenino,Adopción Plena
2018-10-23 09:22:48,2009-12-20 00:00:00,Femenino,Adopción Plena
2018-10-23 09:34:24,2014-08-14 00:00:00,Masculino,Adopción Plena
2018-10-23 09:39:06,2010-10-09 00:00:00,Masculino,Adopción Plena
2018-10-23 11:39:57,1991-08-03 00:00:00,Masculino,Adopción Simple
2018-10-25 15:22:54,2005-12-29 00:00:00,Femenino,Adopción Plena
2018-10-26 10:17:59,2013-03-28 00:00:00,Femenino,Adopción Plena
2018-10-26 10:35:05,1964-07-20 00:00:00,Femenino,Adopción Simple
2018-10-26 11:02:54,2014-10-19 00:00:00,Masculino,Adopción Plena
2018-10-26 13:03:27,1999-08-10 00:00:00,Masculino,Adopción Plena
2018-10-29 09:56:37,1976-06-15 00:00:00,Femenino,Adopción Simple
2018-10-31 09:58:45,2007-01-30 00:00:00,Femenino,Adopción Plena
2018-10-31 12:48:36,2008-09-08 00:00:00,Femenino,Adopción Plena
2018-11-01 11:55:54,1996-06-23 00:00:00,Masculino,Adopción Simple
2018-11-05 12:37:22,2004-11-30 00:00:00,Masculino,Adopción Simple
2018-11-05 12:41:05,1997-01-06 00:00:00,Femenino,Adopción Plena
2018-11-05 15:25:34,2012-07-29 00:00:00,Femenino,Adopción Plena
2018-11-12 09:28:50,2008-01-11 00:00:00,Femenino,Adopción Plena
2018-11-14 12:00:12,2007-01-31 00:00:00,Femenino,Adopción Plena
2018-11-14 12:10:45,2008-06-10 00:00:00,Masculino,Adopción Plena
2018-11-14 15:42:17,2002-11-02 00:00:00,Masculino,Adopción Plena
2018-11-16 12:44:08,2008-10-30 00:00:00,Masculino,Adopción Plena
2018-11-20 13:31:07,1995-06-17 00:00:00,Masculino,Adopción Plena
2018-11-20 14:07:28,2008-07-30 00:00:00,Masculino,Adopción Plena
2018-11-21 11:07:50,1998-03-03 00:00:00,Femenino,Adopción Plena
2018-11-21 15:24:20,2002-06-13 00:00:00,Femenino,Adopción Plena
2018-11-21 15:33:29,2006-08-01 00:00:00,Femenino,Adopción Plena
2018-11-22 13:41:29,2014-07-30 00:00:00,Masculino,Adopción Plena
2018-12-03 15:41:27,1969-12-04 00:00:00,Masculino,Adopción Simple
2018-12-04 12:48:12,2011-02-07 00:00:00,Masculino,Adopción Plena
2018-12-05 09:42:26,2006-07-09 00:00:00,Femenino,Adopción Plena
2018-12-07 13:43:42,1984-04-17 00:00:00,Masculino,Adopción Plena
